Transaction_ID,Customer_ID,Purchase_Date,Age,Gender,City,Employment,Monthly_Income,Purchase_Amount,Installments,Monthly_Installment,Remaining_Installments,Total_Remaining_Balance,Category,Store Name,Channel,Active_Contracts,DTI_Ratio,Delay_Days,Status,SIMAH_Status
TX00001,C0758,2025-04-06,32,Male,Medina,Unemployed,1609,488,3,122,0,0,Fashion,Namshi,App,6,1.474,199,Missed,Defaulted (Blacklisted)
TX00002,C0404,2025-11-16,42,Female,riyadh,Employed,19061,3591,4,897.75,1,513.75,Fashion,Dior,App,2,0.071,0,Paid on time,Not Reported
TX00003,C0777,2024-04-19,53,Female,Yanbu,Employed,20055,556,4,139,0,0,   electronics   ,,App,2,0.029,0,Paid on time,Not Reported
TX00004,C0426,2025-08,41,Female,Riyadh,Unemployed,2711,555,3,138.75,0,0,Electronics,General Store,In-Store,1,0.051,0,Paid on time,Not Reported
TX00005,C0297,2025-11-13,64,Male,Hail,Employed,15086,4194,4,1048.5,1,509.5,  fashion  ,Fendi,App,7,0.248,121,Missed,Delayed (Reported)
TX00006,C0419,2025-04-17,39,Male,Mecca,Employed,14346,305,4,76.25,0,0,Fashion,Herm�s,App,3,0.068,0,Paid on time,Not Reported
TX00007,C0256,2025-07-26,32,Female,Al-Jubail,Employed,17556,3316,4,829,0,0,  ELECTRONICS  ,General Store,Web,6,0.175,172,Late,Delayed (Reported)
TX00008,C0628,2024-12-22,31,Female,Riyadh_City,Unemployed,1553,299,4,74.75,0,0,Groceries,Carrefour,App,5,1.207,197,Missed,Defaulted (Blacklisted)
TX00009,C0166,2025-01-25,61,Male,Jeddah,Self-employed,8513,879,4,219.75,0,0,Travel,Saudia Airlines,App,4,0.184,0,Paid on time,Not Reported
TX00010,C0262,2024-09-10,40,Male,Riyadh,Employed,15067,2625,3,656.25,0,0,Furniture,Home Centre,Web,2,0.073,0,Paid on time,Not Reported
TX00011,C0242,2024-04-25,19,Female,Mecca,Employed,8609,955,4,238.75,0,0,Furniture,Midas,App,1,0.028,0,Paid on time,
TX00012,C0035,2025-12-22,36,Female,Dhahran,Employed,11491,3354,4,838.5,2,987.5,Electronics,General Store,App,3,0.151,0,Paid on time,Not Reported
TX00013,C0463,2025-04-11,46,Female,Jeddah,Employed,21967,416,4,104,0,0,Electronics,General Store,Web,5,0.087,79,Late,Delayed (Reported)
TX00014,C0399,2025-11-20,30,Male,Jeddah,Employed,10111,291,4,72.75,1,677.25,Electronics,General Store,App,5,0.185,111,Missed,Delayed (Reported)
TX00015,C0500,2024-02-05,58,Female,Dhahran,Employed,15306,1506,4,376.5,0,0,Travel,flynas,App,5,0.142,128,Missed,Delayed (Reported)
TX00016,C0315,2025-11-15,43,Male,Jeddah,Employed,16334,1684,4,421,1,683,Furniture,Midas,App,2,0.053,0,Paid on time,Not Reported
TX00017,C0577,2025-06-01,64,Male,Abha,Employed,16065,4660,4,1165,0,0,Furniture,Home Centre,App,6,0.213,53,Late,Delayed (Reported)
TX00018,C0446,2025-08-18,26,Male,Riyadh,Self-employed,19141,1135,3,283.75,0,0,Groceries,Panda,App,6,0.132,186,Late,Defaulted (Blacklisted)
TX00019,C0554,2025-11-16,56,Female,Al-Baha,Employed,21921,4984,4,1246,1,493,Electronics,General Store,App,4,0.118,0,Paid on time,Not Reported
TX00020,C0395,2025-12-06,36,Male,Buraidah,Employed,18936,910,4,227.5,2,178.5,Fashion,Chanel,Web,3,0.06,0,Paid on time,Not Reported
TX00021,C0744,2024-02-03,44,Male,Hail,Self-employed,13197,3245,4,811.25,0,0,Travel,flynas,App,2,0.096,0,Paid on time,Not Reported
TX00022,C0322,2024-04-10,28,Female,Yanbu,Employed,8468,1223,4,305.75,0,0,Beauty,Faces,Web,2,0.089,0,Paid on time,Not Reported
TX00023,C0024,2025-03-10,56,Female,Dammam,Employed,14532,1719,4,429.75,0,0,Electronics,General Store,Web,6,0.184,153,Late,Delayed (Reported)
TX00024,C0401,2024-08-22,55,Female,Dhahran,Employed,24397,4687,4,1171.75,0,0,Electronics,General Store,App,3,0.085,0,Paid on time,Not Reported
TX00025,C0346,2025-11-03,26,Female,Jazan,Employed,3274,536,4,134,1,208,Electronics,General Store,App,7,0.866,121,Late,Delayed (Reported)
TX00026,C0505,2024-06-26,25,Female,Dammam,Employed,7193,141,3,35.25,0,0,Dining,Maestro Pizza,App,2,0.067,0,Paid on time,Not Reported
TX00027,C0305,2024-09-07,32,Male,Dammam,Employed,10985,2528,3,632,0,0,Electronics,General Store,App,3,0.139,0,Paid on time,Not Reported
TX00028,C0286,2024-04-19,37,Male,Mecca,Employed,16939,4366,4,1091.5,0,0,Travel,Saudia Airlines,In-Store,2,0.091,0,Paid on time,Not Reported
TX00029,C0103,2025-02-14,64,Female,Al-Ahsa,Employed,17175,3268,4,817,0,0,Electronics,General Store,App,7,0.205,208,Late,Defaulted (Blacklisted)
TX00030,C0306,2025-08-16,29,Female,Tabuk,Self-employed,17623,1809,3,452.25,0,0,Groceries,Danube,App,4,0.102,0,Paid on time,Not Reported
TX00031,C0022,2025-01-28,35,Male,riyadh,Employed,8235,1965,4,491.25,0,0,electronics,General Store,App,7,0.388,136,Missed,Delayed (Reported)
TX00032,C0712,2024-01-03,24,Female,Medina,Student,14068,3974,4,993.5,0,0,Fashion,Chanel,App,1,0.071,0,Paid on time,Not Reported
TX00033,C0185,2024-08-17,23,Female,Jeddah,Employed,14446,4943,4,1235.75,0,0,beauty,Boots,App,2,0.117,0,Paid on time,Not Reported
TX00034,C0768,2025-03,42,Female,Dhahran,Employed,12974,3709,4,927.25,0,0,Electronics,General Store,In-Store,4,0.176,0,Paid on time,Not Reported
TX00035,C0521,2025-11-23,33,Female,Mecca,Self-employed,12766,572,4,143,1,680.75,Electronics,General Store,App,3,0.082,0,Paid on time,Not Reported
TX00036,C0485,2025-04-26,26,Female,Riyadh,Employed,8896,2745,4,686.25,0,0,fashion,Chanel,In-Store,7,0.381,183,Late,Defaulted (Blacklisted)
TX00037,C0190,2024-02-01,42,Male,Riyadh,Employed,12969,2607,4,651.75,0,0,Electronics,General Store,App,3,0.12,0,Paid on time,Not Reported
TX00038,C0120,2025-08-20,46,Male,Abha,Employed,21782,1495,4,373.75,0,0,Furniture,Abyat,App,4,0.079,0,Paid on time,Not Reported
TX00039,C0707,2024-08-04,58,Male,Al Khobar,Employed,16498,543,4,135.75,0,0,Fashion,H&M,App,2,0.036,0,Paid on time,Not Reported
TX00040,C0655,4/12/2025,21,Female,Tabuk,Student,12757,223,4,55.75,0,0,Fashion,Fendi,App,4,0.11,0,Paid on time,Not Reported
TX00041,C0078,2025-11-23,44,Female,Jeddah,Employed,17501,2455,4,613.75,1,486.75,Beauty,Boots,App,4,0.112,0,Paid on time,Not Reported
TX00042,C0301,2025-02-07,47,Male,Jazan,Employed,13274,257,4,64.25,0,0,Furniture,Midas,App,6,0.174,201,Late,Defaulted (Blacklisted)
TX00043,C0467,2025-07-15,36,Female,Medina,Employed,16998,3326,4,831.5,0,0,fashion,Namshi,Web,6,0.181,103,Missed,Delayed (Reported)
TX00044,C0260,2025-07-07,19,Female,Riyadh,Student,8655,1830,4,457.5,0,0,Fashion,Zara,Web,6,0.313,106,Missed,Delayed (Reported)
TX00045,C0690,2025-02-04,62,Male,Riyadh,Employed,24834,2960,4,740,0,0,electronics,General Store,App,5,0.102,126,Late,Delayed (Reported)
TX00046,C0248,2025-11-21,22,Male,Jeddah,Student,17856,3417,3,854.25,1,190.75,groceries,Panda,App,4,0.123,0,Paid on time,Not Reported
TX00047,C0551,2025-01-10,36,Female,Riyadh,Employed,19197,4110,4,1027.5,0,0,Electronics,General Store,App,2,0.077,0,Paid on time,Not Reported
TX00048,C0014,2025-04-09,53,Female,Yanbu,Employed,18755,2903,4,725.75,0,0,Electronics,General Store,App,4,0.111,0,Paid on time,Not Reported
TX00049,C0501,2025-01-03,42,Female,Riyadh,Employed,18448,554,4,138.5,0,0,furniture,Abyat,App,7,0.154,49,Missed,Delayed (Reported)
TX00050,C0655,2025-03-12,21,Female,Tabuk,Student,13280,3034,4,758.5,0,0,Beauty,Sephora,Web,6,0.227,163,Late,Delayed (Reported)
TX00051,C0763,2025-08-08,64,Male,Abha,Employed,22658,4088,4,1022,0,0,electronics,General Store,In-Store,6,0.144,42,Late,Delayed (Reported)
TX00052,C0527,2024-08-21,57,Female,Riyadh_City,Employed,15275,2749,4,687.25,0,0,Electronics,General Store,App,2,0.074,0,Paid on time,Not Reported
TX00053,C0286,2024-11-05,37,Male,Mecca,Employed,12427,1041,4,260.25,0,0,Travel,flyadeal,App,2,0.057,0,Paid on time,Not Reported
TX00054,C0318,2025-11-27,53,Female,Tabuk,Employed,17159,1664,4,416,1,549.25,Electronics,General Store,App,2,0.05,0,Paid on time,Not Reported
TX00055,C0103,2025-08-26,64,Female,Al-Ahsa,Employed,21153,416,4,104,0,0,beauty,Faces,In-Store,6,0.111,0,Paid on time,Not Reported
TX00056,C0675,2024-03-27,48,Male,Hail,Employed,18810,3330,4,832.5,0,0,Electronics,General Store,App,2,0.068,0,Paid on time,Not Reported
TX00057,C0098,2024-11-05,33,Male,Mecca,Employed,13893,4476,4,1119,0,0,Fashion,H&M,Web,4,0.178,0,Paid on time,Not Reported
TX00058,C0643,2024-08-20,62,Male,Yanbu,Employed,14407,3015,4,753.75,0,0,travel,Almosafer,App,5,0.177,63,Missed,Delayed (Reported)
TX00059,C0428,2025-04-03,41,Female,Buraidah,Employed,19278,677,4,169.25,0,0,Fashion,H&M,App,7,0.149,35,Late,Delayed (Reported)
TX00060,C0440,2024-07-15,35,Female,Medina,Unemployed,2211,762,3,190.5,0,0,Fashion,Chanel,App,4,0.697,43,Late,Delayed (Reported)
TX00061,C0187,2025-04-18,53,Female,Jeddah,Self-employed,18775,279,4,69.75,0,0,electronics,General Store,App,5,0.1,101,Missed,Delayed (Reported)
TX00062,C0151,2024-06-06,47,Female,Riyadh,Self-employed,6595,636,3,159,0,0,Fashion,H&M,App,5,0.297,192,Missed,Defaulted (Blacklisted)
TX00063,C0693,2024-03-26,65,Female,Riyadh_City,Employed,24916,539,4,134.75,0,0,Electronics,General Store,App,5,0.078,192,Missed,Defaulted (Blacklisted)
TX00064,C0620,2025-01-01,57,Male,Riyadh,Employed,14690,2534,4,633.5,0,0,electronics,General Store,App,5,0.166,75,Late,Delayed (Reported)
TX00065,C0634,2024-08-08,18,Female,Al-Jubail,Student,10536,2696,4,674,0,0,Fashion,H&M,Web,1,0.064,0,Paid on time,Not Reported
TX00066,C0520,2024-08-10,60,Female,Medina,Employed,20229,4900,4,1225,0,0,Electronics,General Store,In-Store,2,0.083,0,Paid on time,Not Reported
TX00067,C0482,2024-08-07,49,Male,Al Khobar,Employed,24266,657,4,164.25,0,0,Furniture,Home Centre,App,4,0.062,0,Paid on time,Not Reported
TX00068,C0060,2024-11-06,65,Female,Dammam,Unemployed,1808,459,3,114.75,0,0,Fashion,Mango,App,3,0.561,94,Late,Delayed (Reported)
TX00069,C0485,2025-06-16,26,Female,Riyadh,Employed,5993,157,3,39.25,0,0,Dining,Kudu,App,5,0.307,93,Late,Delayed (Reported)
TX00070,C0336,2024-11-28,52,Female,Al Khobar,Employed,18563,1530,4,382.5,0,0,Electronics,General Store,App,3,0.069,0,Paid on time,Not Reported
TX00071,C0062,2024-08-23,62,Male,Riyadh,Self-employed,19056,260,3,65,0,0,Dining,Kudu,Web,3,0.051,0,Paid on time,Not Reported
TX00072,C0457,2025-03-25,62,Female,Riyadh  ,Self-employed,8028,1762,4,440.5,0,0,Electronics,General Store,In-Store,6,0.335,104,Late,Delayed (Reported)
TX00073,C0717,2025-11-18,29,Male,Jeddah,Employed,8519,1317,4,329.25,1,293.25,Fashion,Zara,App,7,0.356,111,Late,Delayed (Reported)
TX00074,C0397,2024-09-01,28,Female,Riyadh_City,Employed,9904,870,3,217.5,0,0,Groceries,Panda,App,3,0.113,0,Paid on time,Not Reported
TX00075,C0788,2024-08-06,28,Male,RIYADH,Self-employed,4570,1321,4,330.25,0,0,electronics,General Store,App,4,0.368,0,Paid on time,Not Reported
TX00076,C0161,2024-11-03,50,Female,Riyadh,Employed,24514,725,4,181.25,0,0,Electronics,General Store,App,2,0.026,0,Paid on time,Not Reported
TX00077,C0769,2025-08-23,63,Female,Jeddah,Employed,14786,1083,4,270.75,0,0,Furniture,Abyat,App,7,0.201,68,Late,Delayed (Reported)
TX00078,C0292,2024-04-24,28,Female,Al Khobar,Unemployed,1001,224,3,56,0,0,Beauty,Sephora,Web,3,0.955,169,Late,Delayed (Reported)
TX00079,C0652,2025-01-11,50,Female,Jeddah,Employed,14998,4473,4,1118.25,0,0,furniture,Midas,App,6,0.225,46,Late,Delayed (Reported)
TX00080,C0523,2024-02-10,46,Female,Jeddah,Employed,24436,3724,4,931,0,0,Beauty,Nice One,App,3,0.075,0,Paid on time,Not Reported
TX00081,C0266,2024-11-11,39,Male,Riyadh,Self-employed,12024,2725,4,681.25,0,0,Electronics,General Store,App,3,0.132,0,Paid on time,Not Reported
TX00082,C0030,2024-12-17,18,Male,Najran,Student,18213,148,3,37,0,0,Dining,Albaik,Web,1,0.002,0,Paid on time,Not Reported
TX00083,C0307,2025-05-06,33,Male,Jeddah,Employed,16284,2636,4,659,0,0,electronics,General Store,Web,7,0.206,0,Paid on time,Not Reported
TX00084,C0321,2025-04-27,19,Male,Riyadh,Student,15915,224,4,56,0,0,Electronics,General Store,Web,3,0.06,0,Paid on time,Not Reported
TX00085,C0279,2024-04-27,52,Male,Riyadh_City,Employed,24061,2914,4,728.5,0,0,Electronics,General Store,App,4,0.086,0,Paid on time,Not Reported
TX00086,C0722,2025-03-18,50,Female,Jeddah,Employed,13828,2787,4,696.75,0,0,electronics,General Store,App,2,0.083,0,Paid on time,Not Reported
